ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
115736742;102906385;1419203;225365767;71872000001;0;249633001;2025-09-30;2021-11-12;2025-09-30;0;1453714.95251559.1455652.1419203.102906385
45417292;8278465;1419203;14003897;71872000001;0;249593242;2025-09-29;2015-05-25;2025-09-29;0;1453714.95251559.1455652.1419203.8278465
45417281;8277455;1419203;14002492;71872000001;0;249620680;2025-09-29;2015-04-29;2025-09-29;0;1453714.95251559.1455652.1419203.8277455
45417889;88630563;1419203;130973314;71872000001;0;249632524;2025-09-30;2019-03-22;2025-09-30;0;1453714.95251559.1455652.1419203.88630563
45420715;29997720;1419324;45967423;71872000001;0;249633652;2025-09-30;2019-03-20;2025-09-30;0;1453714.95251559.1455652.1419324.29997720
45420677;29996149;1419324;45965061;71872000001;0;249653153;2025-09-30;2015-05-18;2025-09-30;0;1453714.95251559.1455652.1419324.29996149
45420757;85303955;1419324;126671502;71872000001;0;249677960;2025-10-01;2018-05-17;2025-10-01;0;1453714.95251559.1455652.1419324.85303955
45580905;57608447;1419498;86116766;71887000001;0;0;2025-09-29;1900-01-01;2079-06-06;0;1453714.95251561.1454577.1419498.57608447
45801505;19990296;19989898;31324783;71887000;0;0;2025-10-01;2018-08-16;2079-06-06;0;1453714.95251561.1454577.1422940.19989898.19990296
46155333;60312846;60311860;90047398;71879000;0;0;2025-10-01;2019-02-01;2079-06-06;0;1453714.95251611.1454743.1422991.60311860.60312846
46291390;41504755;41503508;62759967;71887000;0;0;2025-10-01;2018-08-20;2079-06-06;0;1453714.95251561.1454577.1428159.41503508.41504755
46291577;41512829;41512548;62771768;71887000;0;0;2025-10-01;2018-08-20;2079-06-06;0;1453714.95251561.1454577.1428159.41512548.41512829
46844495;81840799;81840127;121609589;71887000;0;0;2025-10-01;2018-08-20;2079-06-06;0;1453714.95251561.1454577.1432097.81840127.81840799
46240638;47665159;1427191;71679571;71887000001;0;0;2025-09-29;1900-01-01;2079-06-06;0;1453714.95251561.1454577.1427191.47665159
45801491;19989898;1422940;31324099;71887000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1453714.95251561.1454577.1422940.19989898
45801895;20000210;1422940;31339782;71887000001;0;0;2025-09-30;1900-01-01;2079-06-06;0;1453714.95251561.1454577.1422940.20000210
103425975;95977042;1419203;140830867;71872000001;0;249622129;2025-09-29;2020-03-17;2025-09-29;0;1453714.95251559.1455652.1419203.95977042
99572296;50528196;50524046;75825502;71829406;0;249683762;2025-10-01;2017-06-28;2025-10-01;0;1453714.95251648.95251650.1431789.1425421.50524046.50528196
108871064;98903883;1419203;158216355;71872000001;0;249632551;2025-09-30;2020-10-30;2025-09-30;0;1453714.95251559.1455652.1419203.98903883
249585093;174912004;103778294;689629596;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1424659.103778294.174912004
249585105;174912016;97779071;689629647;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428616.97779071.174912016
249585107;174912018;97779071;689629650;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428616.97779071.174912018
239120929;168558861;1432895;609121583;71829000;0;249585679;2025-09-29;2024-12-11;2025-09-29;0;1453714.95251648.1432895.168558861
249585680;174912589;1435114;689630913;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1435114.174912589
249585684;174912593;1431587;689630929;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1431587.174912593
249585686;174912595;1431587;689630931;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1431587.174912595
249585691;174912600;1419653;689630945;71887000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251561.1454577.1419653.174912600
249585715;174912624;1434121;689630997;71811412101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251577.95251582.1425234.1434121.174912624
110076235;99901136;1419203;167595574;71872000001;0;249586099;2025-09-29;2021-01-12;2025-09-29;0;1453714.95251559.1455652.1419203.99901136
249586387;8280830;160688407;689633089;71872000001;45417470;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251559.1454524.1428164.160688407.8280830
249586439;174913344;1420649;689633153;71885000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251550.1454648.1430618.1420649.174913344
45417579;8283229;1419203;14010951;71872000001;0;249586443;2025-09-29;2019-12-17;2025-09-29;0;1453714.95251559.1455652.1419203.8283229
249586524;174913427;1426776;689633290;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1426776.174913427
249587409;174914303;170938284;689635191;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1420940.170938284.174914303
47275783;28160548;1425934;43332744;71875000001;0;0;2025-09-29;1995-12-18;2079-06-06;0;1453714.95251574.1454322.1425934.28160548
47708272;52612631;1432309;78808120;71875000001;0;0;2025-09-29;2000-08-11;2079-06-06;0;1453714.95251574.1454322.1432309.52612631
249588628;174915522;1430625;689637546;71875000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251574.1454322.1430625.174915522
249590213;174917102;1425934;689640230;71875000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251574.1454322.1425934.174917102
46577777;25165320;1417476;38959545;71875000001;0;0;2025-09-29;2006-07-17;2079-06-06;0;1453714.95251574.1454322.1417476.25165320
249590232;174917121;1430788;689640273;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917121
249590234;174917123;1430788;689640275;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917123
249590236;174917125;1430788;689640277;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917125
249590238;174917127;1430788;689640279;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917127
249590240;174917129;1430788;689640281;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917129
249590242;174917131;1430788;689640283;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1430788.174917131
249590540;174917422;69925767;689640836;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917422
249590542;174917424;69925767;689640838;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917424
249590544;174917426;69925767;689640840;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917426
249590546;174917428;69925767;689640842;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917428
249590548;174917430;69925767;689640844;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917430
249590550;174917432;69925767;689640846;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917432
249590552;174917434;69925767;689640848;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917434
249590554;174917436;69925767;689640850;71879000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251611.1454743.1427325.69925767.174917436
45417511;8281906;1419203;14008978;71872000001;0;249593322;2025-09-29;2019-03-28;2025-09-29;0;1453714.95251559.1455652.1419203.8281906
235887707;165449702;1431914;601523879;71887000001;0;0;2025-09-29;2024-09-19;2079-06-06;0;1453714.95251561.1454577.1431914.165449702
249593493;8276330;160688407;689646692;71872000001;45417223;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251559.1454524.1428164.160688407.8276330
234319855;164048354;1437098;597252433;71824104001;0;249609352;2025-09-29;2024-06-28;2025-09-29;0;1453714.95251623.95251625.1427951.1437098.164048354
46973984;1832871;1433476;4603336;71887000001;0;0;2025-09-29;2018-08-16;2079-06-06;0;1453714.95251561.1454577.1433476.1832871
249614213;174933349;1432547;689674721;71819153;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251613.95251615.1432547.174933349
249614713;174933843;95419115;689675548;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1424797.95419115.174933843
249616209;174935314;20239564;689679371;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1420940.20239564.174935314
249616230;174935335;1423944;689679416;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422636.1423944.174935335
45421145;28190615;1421882;43374726;71878000001;0;0;2025-09-29;2010-11-19;2079-06-06;0;1453714.95251596.1453950.1421882.28190615
249616255;174935360;97779068;689679462;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428616.97779068.174935360
249616276;174935381;174761924;689679510;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1423516.174761924.174935381
249616308;174935413;1428797;689679564;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428797.174935413
249616346;174935451;1425749;689679640;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1423250.1425749.174935451
249616428;174935533;1424260;689679764;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1424260.174935533
249616457;174935562;48796486;689679820;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428119.48796486.174935562
249616495;174935600;164979270;689679891;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.164971044.164979270.174935600
249618807;174937868;97779068;689684335;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1428616.97779068.174937868
249619120;174938176;99582330;689686419;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1424798.99582330.174938176
249619408;174938460;1422235;689686802;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422235.174938460
249619410;174938462;1422235;689686804;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422235.174938462
249619412;174938464;1422235;689686806;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422235.174938464
249619414;174938466;1422235;689686808;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422235.174938466
249619416;174938468;1422235;689686810;71876000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251575.1454442.1422235.174938468
106914910;97069649;1419203;151751458;71872000001;0;249620008;2025-09-29;2020-06-09;2025-09-29;0;1453714.95251559.1455652.1419203.97069649
249620234;8280914;160688407;689688242;71872000001;45417482;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251559.1454524.1428164.160688407.8280914
249620680;8277455;160688407;689688991;71872000001;45417281;0;2025-09-29;2025-09-29;2079-06-06;1;1453714.95251559.1454524.1428164.160688407.8277455
45418396;91356961;1419203;134072369;71872000001;0;249622461;2025-09-29;2016-04-22;2025-09-29;0;1453714.95251559.1455652.1419203.91356961
